ke	k @
ditundukka	d i t u n d o KK k a
ditumpuka	d i t u m p u k a
ditumbukka	d i t u m b o KK k a
ditumbuka	d i t u m b o k a
ditumbuhkan	d i t u m b o h k a n
ditumalam	d i t u m a l a m
ditukik	d i t u k i KK
ditugung	d i t u g o NG
dituensanus	d i t u @ n s e n @ s
dituduhka	d i t u d o h k a
dititahka	d i t i t a h k a
ditingang	d i t i NG a NG
ditimpuhka	d i t i m p o h k a
ditikalka	d i t i k a l k a
ditika	d i t i k @
diti	d i t i
diterebit	d i t @ r @ b e t
ditengkebangka	d i t @ NG k @ b a NG k @
ditendurka	d i t @ n d o r k a
ditegu	d i t @ g u
ditatka	d i t a t k a
ditatakka	d i t a t a KK k a
ditapatka	d i t a p a t k a
ditanyaka	d i t a NJ a k @
ditanjah	d i t a n dZ a h
ditangkaka	d i t a NG k a k a
ditanggang	d i t a NG g a NG
ditambit	d i t a m b e t
ditalipuan	d i t a l i p u a n
ditabanpejal	d i t a b a n p @ dZ a l
disiuhka	d i s i j o h k a
disipat	d i s i p a t
disintak	d i s i n t a KK
disikapka	d i s i k a p k a
diserumba	d i s @ r u m b @
diseruga	d i s @ r u g @
diserenihka	d i s @ r @ n e h k a
disengkebang	d i s @ NG k @ b a NG
disengai	d i s @ NG aj
disembar	d i s @ m b a
diseluri	d i s @ l o r i
diselingkut	d i s @ l i NG k u t
disegulaika	d i s @ g u l aj k a
diseguaika	d i s @ g w aj k a
disebutka	d i s @ b u t k a
disayat	d i s a j a t
disarap	d i s a r a p
disarakka	d i s a r a KK k a
disar	d i s a r
disalamka	d i s a l a m k a
disagi	d i s a g i
disabsidi	d i s a b s i d i
dirubuhka	d i r u b o h k a
diru	d i r u
dirikotka	d i r i k o t k a
diretor	d i r @ t o r
direrak	d i r @ r a KK
direpair	d i r i p e r
dirba	d i r b @
diratka	d i r a t k a
diramika	d i r a m i k a
diraban	d i r a b a n
dipuput	d i p u p u t
dipuntanka	d i p u n t a n k @
dipulai	d i p u l aj
dipukung	d i p u k o NG
dipiringka	d i p i r i NG k a
dipindahhak	d i p i n d a h a KK
diphotostat	d i f o t o s t a t
dipetati	d i p @ t a t i
dipetalatka	d i p @ t a l a t k a
diperumban	d i p @ r u m b a n
diperetika	d i p @ r e t i k @
diperchik	d i p @ r tS i KK
diperchaya	d i p @ r tS a j a
diperangsang	d i p @ r a NG s a NG
diperambun	d i p @ r a m b u n
dipengap	d i p @ NG a p
dipemunka	d i p @ m u n k a
dipelabak	d i p @ l a b a KK
dipekuh	d i p @ k o h
dipejalaikaku	d i p @ dZ a l aj k a k u
dipejalaikai	d i p @ dZ a l aj k a i
dipedagang	d i p @ d a g a NG
dipebanding	d i p @ b a n d i NG
dipayung	d i p a j o NG
dipansuh	d i p a n s o h
dipanjungka	d i p a n dZ o NG k a
dipanjuk	d i p a n dZ o KK
dipangkang	d i p a NG k a NG
dipanggung	d i p a NG g o NG
dipanggku	d i p a NG g k u
dipanchit	d i p a n tS h i t
dipampas	d i p a m p a s
dipambarka	d i p a m b a k a
dipaju	d i p a dZ u
dipajalaika	d i p a dZ a l aj k a
diosis	d i o s i s
dinil	d i n i l
dingun	d i NG u n
dinanka	d i n a n k a
dimasukka	d i m a s o KK k a
dilun	d i l u n
diliska	d i l i s k @
dilengkaska	d i l @ NG k a s k a
dilekat	d i l @ k a t
dilasu	d i l a s u
dilancham	d i l a n tS a m
dilancarka	d i l a n tS a k a
dilakun	d i l a k u n
dilabuhka	d i l a b o h k a
dilabuh	d i l a b o h
dikn	d aj k e e n
dikiraka	d i k i r a k a
dikesiru	d i k @ s i r u
dikesemaka	d i k @ s @ m a k @
dikerumbak	d i k @ r u m b a KK
dikerja	d i k @ r dZ @
dikerengkun	d i k @ r @ NG k u n
dikerejaku	d i k @ r e dZ @ k u
dikerawang	d i k @ r a w a NG
dikerandang	d i k @ r a n d a NG
dikerandai	d i k @ r a n d aj
dikerambaika	d i k @ r a m b aj k a
dikenggaika	d i k @ NG g a i k a
dikenggai	d i k @ NG g aj
dikenakutka	d i k @ n a k u t k a
dikemuningka	d i k @ m u n i NG k a
dikempu	d i k @ m p u
dikemplin	d i k @ m p l i n
dikemetul	d i k @ m @ t u l
dikemeli	d i k @ m @ l i
dikemedar	d i k @ m @ d a
dikemaruhka	d i k @ m a r o h k a
dikemaranka	d i k @ m a r a n k a
dikemansutka	d i k @ m a n s u t k a
dikemana	d i k @ m a n @
dikelimat	d i k @ l i m a t
dikelikuh	d i k @ l i k u h
dikelandik	d i k @ l a n d e KK
dikejampat	d i k @ dZ a m p a t
dikeirauka	d i k @ i r aw k a
dikedutka	d i k @ d u t k a
dikealuska	d i k @ a l u s k a
dikategorika	d i k a t @ g o r i k a
dikan	d i k a n
dikamatka	d i k a m a t k a
dikalihka	d i k a l e h k a
dijalaika	d i dZ a l aj k a
diintebiu	d i i n t @ b i w
diingatka	d i i NG a t k a
diias	d i j a s
dihoi	d i h oj
diguring	d i g u r i NG
diguluka	d i g u l u k @
digariska	d i g a r i s k a
digagaku	d i g a g a k u
digagai	d i g a g a i
difax	d i f e KK s
diesempulang	d i s @ m p u l a NG
dientak	d j @ n t a KK
dienahka	d i e n a h k a
diempelitaka	d i e m p @ l i t a k a
diemba	d i e m b @
diemail	d i @ m aj e l
didepositka	d i d e p o s i t k a
didengah	d i d @ NG a h
dideana	d i d e a n @
didarat	d i d a r a t
didanjika	d i d a n dZ i k @
dichunto	d i tS u n t o
dichiping	d i tS i p i NG
dicherita	d i tS @ r i t @
dibichara	d i b i tS h a r a
dibicaraka	d i b i tS a r a k a
dibetuaika	d i b @ t w a i k a
diberkat	d i b @ r k a t
diberengkah	d i b @ r @ NG k a h
dibelankin	d i b @ l a n k i n
dibasu	d i b a s u
diayah	d j a j a h
diatuku	d i a t u k u
diasut	d i a s u t
diasil	d i a s e l
diambia	d i a m b j a
diakim	d i a k i m
diakal	d i a k a l
diais	d i aj s
dhpp	d i e tS p i p i
dhpa	d i e tS p i e
dho	d i e tS o
dhal	d h a l
destini	d e s t i n i
depha	d e f a
dengkah	d @ NG k a h
dendra	d @ n d r a
demun	d i m u n
demokrati	d e m o k r a t i
democratik	d e m @ k r e t i KK
delegasyen	d e l i g e SS @ n
defacto	d i f e k t o
dearah	d @ a r a h
dealaintina	d i l e n t i n a
dconsul	d k o n s u l
dayrell	d a j r @ l
dayaks	d a j a KK s
dayakpia	d a j a KK p j a
dati	d a t i
darulsalam	d a r u l s a l a m
darukl	d a r o KK l
daresh	d a r e SS
daresah	d a r @ s a h
darcia	d a r s j a
dap-kota	d a p k o t @
dap-dcc	d a p d i s i s i
danyel	d a NJ @ l
danji-danji	d a n dZ i d a n dZ i
dangang	d a NG a NG
dancon	d a n k o n
damis	d a m i s
dalhan	d a l h a n
dajai	d a dZ a i
cwsmalaysia	s i d a b l j u e s e m @ l e s j @
cuepecs	k j u p e KK s
coorporation	k o o p @ r e SS @ n
concentrator	k o n s @ n t r a t o
committe	k @ m i t
colostrum-sleep	k o l o s t r o m s l i p
colline	k o l i n
codt	k o t
co-ordinator	tS o o r d i n a t o
co-direktor	tS o d i r e KK t o
co-chairman	tS o tS e r m e n
cny	s i e n w aj
clerence	k l e r @ n s
clemet	k l e m @ t
cimp	s i aj e m p i
chupak	tS u p a KK
chunggut	tS u NG g u t
chundung	tS u n d o NG
chumbang	tS u m b a NG
chulup	tS u l o p
chuchu	tS u tS u
christhoper	k r i s t h o p @
chondroitin	tS o n d r oj t i n
chirie	tS i r i
chiok	tS i o KK
chinaku	tS aj n @ k u
chimezie	tS i m e z i
chillipeppers	tS i l i p e p @ s
cheula-ula	tS i w l a u l a
chesire	tS i z aj @
cheruk	tS @ r o KK
cherilyn	tS e r @ l @ n
chendang	tS @ n d a NG
check-in	tS e k i n
cheak	tS i k
chawat	tS a w a t
charin	k e r i n
charik	tS a r e KK
charang	tS a r a NG
chaong	k e o NG
chancelor	tS e n s @ l @
chalang	tS a l a NG
chairaman	tS e r @ m e n
cewc	tS @ d a b l j u s i
ceberal	tS @ b @ r @ l
ceasser	tS @ a s e
cbee	s i b i
cathrine	k e t r i n
carriageway	k e r i dZ w e
caroller	k e r @ l l @
canna	k e n a
calmy-rey	k a l m i r i
by-laws	b aj l o s
buyan	b u j a n
buti	b u t i
burkino	b u r k i n o
burit	b u r e t
burai	b u r aj
bup-bup	b u p b u p
buntaspansik	b u n t a s p a n s e KK
bungkung	b u NG k o NG
bungkok	b u NG k o KK
bundung-sian	b u n d o NG s j a n
buna	b u n a
bumuh	b u m o h
bumipuitera	b u m i p u j t @ r @
bulo	b u l o
bulit	b u l e t
bulai	b u l aj
bugu	b u g u
bugie	b u g i
budul	b u d u l
budol	b u d o l
budit	b u d i t
budis	b u d i s
bubut	b u b u t
bubok	b u b o KK
bttw	b i t i t i d a b l j u
bsr	b i e s a r
bruneiku	b r u n aj k e j u
brunei-indonesia-malaysia-filipina	b r u n i i n d o n e s j @ m a l a j s j @ f i l i p i n a
bruan	b r w a n
britin	b r i t i n
brigadier-general	b r i g @ d j @ dZ e n @ r @ l
brayun	b r e j u n
braoh	b r e o h
bragai	b r a g aj
bqsm	b i k j u e s e m
bptv	b i p i t i v i
bpe	b i p i i
bowang	b o w a NG
boucer	b o s @
borneo-untold	b o r n i o u n t o l d
bokah	b o k a h
bojet	b o dZ e t
bnsarawak	b i e n e s @ r a w a k
bnmlink	b i e n e m l i n k
bn-saribas	b i e n s a r i b a s
bn-lingga	b i e n l i NG g @
bn-beting	b i e n b @ t i NG
bn-batu	b i e n b a t u
bn-batang	b i e n b a t a NG
bn-arau	b i e n a r aw
blucewalker	b l u s w o l k @
biu	b i w
bitokan	b i t o k a n
bisau	b i s aw
bisamah	b i s a m a h
biruman	b i r u m a n
biperoh	b aj p @ r o h
bioteknoloji	b aj o t e KK n o l o dZ i
bioreactor	b aj o r i e KK t @
bintulu-tatau	b i n t u l u t a t aw
bintin	b i n t i n
binson	b i n s @ n
bingkok	b i NG k o KK
binapengari	b i n a p @ NG a r i
biluk	b i l o KK
bilin	b i l i n
bilcher	b i l tS @
bilararap	b i l a r a r a p
bihud	b i h u d
bicem	b i tS @ m
biak-biak	b j a KK b j a KK
bhf	b i e tS e f
bgulihka	b i g u l e h k a
beuniform	b @ u n i f o m
beulu	b @ u l u
betunggal	b @ t u NG g a l
betuliska	b @ t u l i s k a
betugas	b @ t u g a s
betuduhka	b @ t u d u h k a
betuchuk	b @ t u tS o KK
betimbun	b @ t i m b u n
betimbak	b @ t i m b a KK
beterunda	b @ t @ r u n d a
beterayan	b @ t @ r a j a n
beterabaika	b @ t @ r a b aj k a
betenggali	b @ t @ NG g a l i
betendangka	b @ t @ n d a NG k a
beteluk	b @ t @ l o KK
betelisih	b @ t @ l i s e h
betelesak	b @ t @ l @ s a KK
betelai	b @ t @ l aj
betegalka	b @ t @ g a l k a
beteduh	b @ t @ d o h
betawar	b @ t a w a
betatam	b @ t a t a m
betaritka	b @ t a r e t k a
betangkan	b @ t a NG k a n
betangkalka	b @ t a NG k a l k a
betanggunjawab	b @ t a NG g u n dZ a w a b
betanchut	b @ t a n tS h u t
besunsun	b @ s u n s u n
besumbar	b @ s u m b a
besukungka	b @ s u k o NG k a
besuil	b @ s u e l
besuie	b @ s u i
besualka	b @ s w a l k a
bestatus	b e s t e t @ s
besrimbai	b @ s r i m b aj
besidi	b @ s i d i
besenyataka	b @ s @ NJ a t a k a
besemuka	b @ s @ m u k a
besempekat	b @ s @ m p @ k a t
besemin	b @ s @ m i n
besembayang	b @ s @ m b a j a NG
beselamatka	b @ s @ l a m a t k a
besekuka	b @ s @ k u k a
besegulai	b @ s @ g u l @ i
besediaka	b @ s @ d j a k a
besebut	b @ s @ b u t
besaut	b @ s a u t
besaupka	b @ s aw o p k a
besaruk	b @ s a r o KK
besarakup	b @ s a r a k o p
besangkutpaut	b @ s a NG k u t p aw t
besangkalka	b @ s a NG k a l k a
besaksi	b @ s a KK s i
besahari-sari	b @ s a h a r i s a r i
besadung	b @ s a d o NG
besaduka	b @ s a d u k a
besabung	b @ s a b o NG
berunyut	b @ r u NJ u t
beruntak	b @ r u n t a KK
berumpangka	b @ r u m p a NG k @
berserimbai	b @ r s @ r i m b aj
berserara	b @ r s @ r a r a
bermukun	b @ r m u k u n
berma	b @ r m a
berkaul	b @ r k a u l
berinsurans	b @ r i n s u r a n s
beringkat-ringkat	b @ r i NG k a t r i NG k a t
beribut	b @ r i b u t
beribunka	b @ r i b u n k a
berias	b @ r j a s
berfluorida	b @ r f l u a r i d @
beresiku	b e r e s i k u
bererengat	b @ r @ r @ NG a t
bererebut	b @ r @ r @ b u t
berengkat	b @ r @ NG k a t
berengka	b @ r @ NG k a
berengat	b @ r @ NG a t
berekak	b @ r e k a KK
beratikan	b @ r a t e k a n
berasi	b @ r a s i
berarangka	b @ r a r a NG k @
beranyam	b @ r a NJ a m
beranjungka	b @ r a n dZ o NG k a
berampaska	b @ r a m p a s k a
berakupka	b @ r a k o p k a
berago	b @ r a g o
bepusat	b @ p u s a t
bepili	b @ p i l i
bepilh	b @ p i l e tS
bepesan	b @ p @ s a n
beperinsa	b @ p @ r i n s a
beperara	b @ p @ r a r a
bepenyulut	b @ p @ NJ u l u t
bepenyampau	b @ p @ NJ a m p aw
bepenti	b @ p @ n t i
bepenglandik	b @ p @ NG l e n d e KK
bepenggai	b @ p @ NG g a i
bepengeraja	b @ p @ NG @ r a dZ @
bepengari	b @ p @ NG a r i
bepenelaba	b @ p @ n @ l a b @
bepeling	b @ p @ l i NG
bepelilih	b @ p @ l i l e h
bepelaba	b @ p @ l a b @
bepekitka	b @ p @ k e t k a
bepekat	b @ p @ k a t
bepeilih	b @ p @ i l e h
bepegerai	b @ p @ g @ r @ i
bepasir	b @ p a s e
bepasang	b @ p a s a NG
bepantak	b @ p a n t a KK
bepansa	b @ p a n s a
bepangggai	b @ p a NG g g aj
bepanggalka	b @ p a NG g a l k a
bepampul	b @ p a m p u l
bepala	b @ p a l @
bepadahka	b @ p a d a h k a
bentera	b @ n t @ r @
bengo	b @ NG o
bengkuku	b @ NG k u k u
bengka	b @ NG k a
bengih	b @ NG e h
bengepan	b @ NG @ p a n
bengat	b @ NG a t
bemutosikal	b @ m u t o s i k a l
bemusim	b @ m u s i m
bemukun	b @ m u k u n
bemanang	b @ m a n a NG
bema	b e m a
bem-sib	b @ m s i b
beluyu	b @ l u j u
beluru-lapok	b @ l u r u l a p o KK
beluh	b @ l u h
belipih	b @ l i p e h
belipat	b @ l i p a t
belinsu	b @ l i n s u
belingan	b @ l i NG a n
belindung	b @ l i n d o NG
belilie	b @ l i l i
beliang	b @ l j a NG
beletik	b @ l @ t e KK
beleti	b @ l @ t i
belematika	b @ l @ m a t i k a
belatihka	b @ l a t e h k a
belare	b @ l @ @
belandik	b @ l a n d e KK
belanchar	b @ l a n tS a r
belalau	b @ l a l aw
belajalaika	b @ l a dZ a l aj k a
belajai	b @ l a dZ aj
belaba	b @ l a b @
bekungsika	b @ k u NG s i k a
bekunchi	b @ k u n tS i
bekulat	b @ k u l a t
beketan	b @ k @ t a n
bekesebar	b @ k @ s @ b a
bekeremit	b @ k @ r @ m i t
bekerejaka	b @ k @ r @ dZ a k @
bekenanas	b @ k @ n a n a s
bekembar	b @ k @ m b a
bekelimatka	b @ k @ l i m a t k a
bekekunda	b @ k @ k u n d a
bekayau	b @ k a j aw
bekap	b @ k a p
bekampung	b @ k a m p o NG
bekakap	b @ k a k a p
bejuging	b @ dZ u dZ i NG
bejual-beli	b @ dZ w a l b @ l i
beju-ju	b @ dZ u dZ u
bejimatka	b @ dZ i m a t k a
bejejurut	b @ dZ @ dZ u r u t
bejauraika	b @ dZ a u r aj k a
bejamah	b @ dZ a m a h
bejakuk	b @ dZ a k o KK
bejaie	b @ dZ a i
beiring-iring	b @ i r i NG i r i NG
beintegriti	b i i n t @ g r i t i
beinjauka	b i i n dZ aw k a
beibuhka	b @ i b u h k a
begusung	b @ g u s o NG
beguntin	b @ g u n t i n
begunaku	b @ g u n @ k u
begelumbang	b @ g @ l u m b a NG
begelih	b @ g @ l e h
begeguai	b @ g @ g w aj
begaring	b i g e r i NG
beentaruhka	b i n t a r o h k a
beena	b i n a
beembun	b j @ m b u n
bedui	b @ d u i
bedijir	b @ d i dZ e
bedara	b @ d a r @
bedabung	b @ d a b o NG
beciping	b e tS i p i NG
beburu	b @ b u r u
bebunuhka	b @ b u n o h k a
bebulan-bulan	b @ b u l a n b u l a n
bebillion	b @ b i l j @ n
bebilion	b @ b i l i o n
bebiki	b @ b i k i
bebengap	b @ b @ NG a p
bebela	b e b e l a
bebantaika	b @ b a n t aj k a
bebantahka	b @ b a n t a h k a
bebangan	b @ b a NG a n
bebah	b @ b a h
beatap	b i t a p
beasai	b i s aj
beangkut	b @ a NG k u t
bdol	b d o l
bayui	b a j u i
bayak	b a j a KK
baumka	b a o m k e e
baul	b aw l
bauchar	b aw tS h a
batanding	b a t a n d i NG
baseh	b a s e h
barundang	b a r u n d a NG
barum	b a r o m
barug	b a r u g
barsian	b a r s i a n
baroh	b a r o h
barita	b a r i t a
barisana	b a r i s a n @
baraj	b a r a dZ
baptis	b a p t i s
banyih	b a NJ i h
bantua	b a n t w @
banting-lingga-stumbin	b a n t i NG l i NG g @ s t u m b i n
bansaa	b a n s a
banjur	b a n dZ o
bangan	b a NG a n
bandong	b a n d o NG
bandingka	b a n d i NG k a
bandat	b a n d a t
bandara	b a n d a r a
banah	b a n a h
banadaraya	b a n a d a r a j a
bamuk	b a m o KK
bampa	b e m p @
bamburing	b a m b @ r i NG
balong	b a l o NG
baleng	b a l e NG
balajar	b a l a dZ a
bakun-belaga	b a k u n b @ l a g @
bakenu	b a k e n u
bajan	b a dZ a n
bajaku	b a dZ @ k u
baijury	b aj dZ @ r i
bagak	b a g a KK
badindang	b a d i n d a NG
babra	b a b r a
babi-perut	b a b i p @ r u t
babi-dagin	b a b i d a g i n
baazar	b a z a
b-	b
azizmi	a z i z m i
ayum	a j o m
ayoh	a j o h
ayanka	a j a n k @
awaka	a w a k @
autoshow	o t o SS o
authistic	o t i s t i KK
atoi	a t oj
ativiti	a t i v i t i
atem	a t @ m
asyikirin	a SS i k i r i n
asyakirin	a SS a k i r i n
asui	a s u i
assap	a s a p
asom	a s o m
asfi	e e s e f aj
aseng	a s e NG
artistes	a r t i s t s
artikal	a r t i k a l
arsm	e a r e s e m
arinna	a r i n a
arcada	a r tS a d a
ar-rahnu	a r r a h n u
aptut	e p tS @ t
aplikasyen	a p l i k a SS @ n
apan	a p a n
anyew	a NJ e w
anyan	a n j a n
anti-ngeruku	a n t i NG @ r u k u
ansah	a n s a h
anoi	a n oj
anji	a n dZ i
anjat	a n dZ a t
angkis	a NG k i s
angki	a NG k i
anggus	a NG g u s
anggok	a NG g o KK
anggau	a NG g aw
anggas	a NG g a s
anggan	a NG g @ n
anggah	a NG g a h
angelyna	e n dZ @ l i n a
angelia	e n dZ @ l j a
aneth	a n e t
andu	a n d u
andol	a n d o l
anderas	e n d @ r a s
anchang	a n tS a NG
anau	a n aw
ampin	a m p i n
ambuh	a m b o h
ambol	a m b o l
ambai	a m b aj
alphonsus	a l f o n s @ s
alpha-lipid	e l f a l i p i d
allopathic	a l o p e t i k
aliana	a l j a n a
alferd	a l f @ d
alexender	a l e KK s e d @
alaikami	a l aj k a m i
alaiaku	a l a j @ k u
al-qaradhawi	a l k a r a d h a w i
akul	a k u l
aktivti	a KK t i v t i aj
aktivitis	a KK t i v i t i s
akpans	e k e p i e n z
akoi	a k oj
akit	a k e t
akih	a k e h
akeologi	a k i o l o dZ i
akedamik	a k e d @ m i KK
akb	a KK b
ajut	a dZ u t
ajong	a dZ o NG
ajkk	e dZ e k e k e
ajensi	a dZ @ n s i
ajek	a dZ e KK
airkon	a e r k o n
ainur	aj n o r
aihh	aj h
aidil-fitri	aj d i l f i t r i
ahoi	a h oj
ahip	a h i p
ahim	a h i m
ahamat	a h a m a t
agustine	a g u s t i n
agrodagang	a g r o d a g a NG
agro-temuai	a g r o t @ m w aj
agipia	a g i p j a
aggan	a g g @ n
agbagbo	a g b e dZ i b i o
agang	a g a NG
agai	a g aj
aeu	e i j u
aeries	e r i s
aenda	e i e n d i e
aedes-semina	e d i s s @ m i n @
adyc	e d i w aj s i
adminstration	e d m i n s t r e i SS @ n
administratif	e d m i n i s t r a t i f
adis-sibuluh	a d i s s i b u l o h
adbul	a d b u l
adat-asal	a d a t a s a l
adaham	a d @ h a m
achot	a tS o t
accessability	e KK s e s @ b i l @ t i
acccis	e s i s i s i aj e s
abuh	a b o h
abstark	e b s t a k
absolutecoolevent	e b s @ l u t k u l i v e n t
absah	e b s a h
abk	e b i k e
abak	a b a KK
abadul	a b a d u l
aank	e e NG k
aaj	e e dZ e
a-satu	a s a t u
zyedecats	z j @ d i k e t s
zurainas	z u r aj n a s
zulwali	z u l w a l i
zulrusdi	z u l r u s d i
zulkifeli	z u l k i f @ l i
zulkarnian	z u l k a r n j @ n
zulkapri	z u l k a p r i
zulfar	z u l f a r
zulfa	z u l f a
zukkiflee	z u KK k i f l i
zukhairi	z u x aj r i
zuhri	z u h r i
zonzon	z o n z o n
zoal	z o KK a l
ziki	z i k i
zikal	z i k a l
zikabilo	z i k a b i l o
zemi	z @ m i
zela	z e l a
zehnder-iban	z e n d @ r i b a n
zedtee	z e d t i
zecha	z @ tS a
zebedeus	z @ b @ d j @ s
zbn	z b i e n
zarinna	z a r i n a
zanuddin	z a n u d i n
zamzani	z a m z a n i
zamnee	z a m n i
zameen	z a m i n
zainuldin	z aj n u l d i n
zainoren	z aj n o r @ n
zainordin	z aj n o r d i n
zaineah	z aj n i a h
zaifulfadullah	z aj f u l f a d u l a h
zaiedy	z aj d i
zaidil	z aj d e l
zaidey	z aj d i
zahrim	z a h r i m
zahrein	z a h r i n
zahiran	z a h e r a n
zahin	z a h i n
zadil	z a d e l
zacchaeus	z a k @ s
ywp	w aj d a b l j u p i
yuzaini	j u z aj n i
yussop	j u s o p
yusran	j u s r a n
yunus-kaban	j u n u s k a b a n
yulius	j u l j @ s
yuku	j u k u
yppbs	w aj p i p i b i e s
yongbekejang	j o NG b @ k @ dZ a NG
yonathan	j o n @ t @ n
ynne	w aj n
ymail	j m aj e l
yma	w aj e m e
yks	w aj k e e s
yke	w aj k
ykd	w aj k e d i
yjn	w aj dZ e e n
yerboli	j e r b @ l i
yekti	j e KK t i
ybstar	w aj b s t a r
ybhg	w aj b i e tS dZ i
ybgk	w aj b i dZ i k e
yaz	j a z
yayasansarawak	j a j a s a n s a r a w a KK
yayasanperpaduansarawak	j a j a s a n p @ r p a d u a n s a r a w a KK
yayasa	j a j a s a
yasang	j a s a NG
yanah	j a n a h
yama	j a m a
yaiyah	j aj j a h
xvl	l a p a l
xtreet	s t r i t
xmas	e KK s e m e e s
xlx	e KK s e l e KK s
xining	s i n i NG
x-posed	e KK s p o s d
wyf	w aj f
wwww	d a b l j u d a b l j u d a b l j u d a b l j u
wur	d a b l j u a r
wung	w u NG
wpo	d a b l j u p i o
wot	w o t
worls	w @ l s
worldsigncraff	w @ l d z aj n k r a f
world-wide	w @ l d w aj d
worlcup	w @ l k a p
worksyop	w @ KK SS o p
wordwide	w @ d w aj d
wordpress	w @ d p r e s
woodfood	w u d f u d
wonerland	w o n @ l e n d
wolongong	w u l o NG g o NG
wnkp	d a b l j u e n k e p i
wllbeing	d a b l j u e l e l b i i i NG
wizilla	w i z i l a
wiwien	w i w i e n
wissam	w i s a m
wishesand	w i SS e s e n
wisam	w i s a m
wiryohadi	w aj @ r i o h a d i
wirawale	w i r a w a l i
winstep	w i n s t e p
winstein	w i n s t aj n
winie	w aj n i 
win-win	w i n w i n
wima	w i m a
willver	w i l v @
willon	w i l @ n
willliam	w i l l j a m
williammawan	w i l j @ m m a w a n
wilfre	w i l f r
wildfed	w aj l d f t
wikileaks	w i k e l i k s
wih	w i h
wid	w i d
whitemore	w i t @ m o r
wheres	w e r s
west-cowboy	w e s t k aw b oj
wenstein	w e n s t aj n
wennie	w e n i
wendly	w e n d l i
welson	w e l s @ n
wellingson	w e l i NG s @ n
wellesly	w e l s l i
wellace	w e l @ s
webside	w e b s aj d
weblogs	w e b l o g s
we-care	w i k e r
wcpa	d a b l j u s i p i e
wcopa	d a b l j u s i o p i e
wazizi	w a z i z i
wayleave	w e l i v
watussi	w a t u s i
waterkiller	w o t @ k i l @
watak-umi	w a t a KK u m i
watak-tok	w a t a KK t o KK
watak-kastabung	w a t a KK k a s t a b o NG
watak-ibu	w a t a KK i b u
washi	w a SS i
warong	w a r o NG
warisanku	w a r i s a n k u
wargana	w a r g a n a
wardana	w a r d a n @
wany	w a n i
wanli	w a n l aj
wangku	w a NG k u
wangan	w a NG a n
walk-in	w o k i n
walk-about	w a l KK @ b a u t
walingitan	w a l i NG i t a n
wakiman	w a k i m a n
wakamatsu	w a k a m a t s u
wahidin	w a h i d i n
wahet	w a h @ t
wahba	w a h b a
wahabari	w a h a b a r i
waf	w a f
waddel	w a d e l
vyner	v i n @
vokyenal	v o k j n a l
voksional	v o k SS @ n @ l
vokbet	v o k b e t
vokasionyel	v o k a s i o NJ @ l
vokasionalajar	v o k a s i o n a l a dZ a
vll	v l
vl	v i e l
visaya	v i s a j @
visalachy	v i s a l a tS i
vionic	v i o n i k
vinnei	v i n  i
vinig	v i n i g
videotalk	v i d j o t o k
videoklip	v i d j o KK l i p
video-conferencing	v i d j o tS o n f @ r @ n s i NG
victorya	v i KK t o r j a
vice-chancellor	v i SS @ tS e n s @ l @
viccana	v i SS tS a n @
vibrio	v aj b r j o
vianney	v i e n i
vhm	v i e tS e m
vevien	v e v j @ n
vety	v e t i
veterena	v e t @ r e n a
vestin	v e s t i n
veon	v i o n
vdc	v i d i s i
vcskenyau	v s k @ NJ aw
vayu	v a j u
vandermander	v e n d @ m e n d @
vandalime	v e n d a l i m
valuetion	v e l j u SS @ n
value-for-money-project	v e l j u f o m a n i p r o dZ e KK t
vakosional	v a k o SS @ n @ l
v-soy	v s oj
v-kool	v k u l
uyang	u j a NG
uyak	u j a KK
uya	u j a
uwan	u w a n
uvek	u v e KK
uvat	j u v i e t i
uutara	u u t a r @
uurung	j u u r o NG
uudah	j u j u d @
ututsan	u t u t z @ n
utut	u t u t
utuan	u t u a n
utsks	u t s k s
uts	u t s
utot	j u t i o t i
utj	j u t i dZ e
utek	u t e KK
utainembiak	j u t e n @ m b j a KK
uta-jaya	u t a dZ a j a
ussama	j u e s e s e e m e
usof	u s o f
usna	u s n a
usip	u s i p
usapps	j u e s e p i p i e s
usahawanita	u s a h a w a n i t @
usahawan-sarawak	u s a h a w a n s a r a w a KK
usahawam	u s a h a w a m
urvei	@ v e
urusharta	u r u SS a r t a
urusetria	u r u s @ t r j a
urunug	u r u n a g
urti	u r t i
ursla	j u a r e s e l e
urng	j u a r e n dZ i
upsrnitih	j u p i e s a r n i t e h
upsrai	j u p i e s a r aj
upskilling	j u p i e s k i l i NG
uppen	a p @ n
upp-jkns	a p dZ e k e e n e s
upok	u p o KK
upo	j u p i o
upm-mitsubisi	j u p i e m m i t s u b i s i
up-bottom	u p b o t @ m
unying	u NJ i NG
unyi	u NJ i
unyang	u NJ a NG
unyan	u NJ a n
unversiti	j u e n v @ r s i t i
untong	u n t o NG
untat	j u e n t i e t i
untakiya	u n t a k i j a
untai	u n t aj
unsuna	u n s u n a
